./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.85 --threads=12 --top=10000 --time=20m
-14.9813	"/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/B"
-14.9813	"/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/G"
-14.9715	"/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/B"
-14.9715	"/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/G"
-14.9715	"/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/R"
-14.968	",GB,GB,GB,GB,GB,GB,GB,GB,B"
-14.9634	"B,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R"
-14.9579	"RB,RB,RB,RB,RB,RB,RB,RB,RB,RB"
-14.9546	"B,B,B,B,B,B,B,B,B,G/R"
-14.951	",B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/"
-14.9411	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R"
-14.9358	"B/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-14.9293	"R/R,B/R/R,B/R/R,B/R/R,B/R/R,B/R/R,B/R/R,B/R/R,B/R/R,B/"
-14.9293	"B/R,B/B/R,B/B/R,B/B/R,B/B/R,B/B/R,B/B/R,B/B/R,B/B/R,B/"
-14.9277	"B,B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/"
-14.9035	"B,B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/B/"
-14.8887	"R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/"
-14.8887	"G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/"
-14.8711	"/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,"
-14.8686	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-14.8639	"RB,GB,GB,GB,GB,GB,GB,GB,GB,B"
-14.8639	"/B,GB,GB,GB,GB,GB,GB,GB,GB,G"
-14.854	"B/B,/B,/B,/B,/B,/B,/B,/B,/B,"
-14.8492	"G/B,/B,/B,/B,/B,/B,/B,/B,/B,"
-14.8481	"B,B,B,B,B,B,B,B,B,B/R"
-14.8479	",B,B,B,B,B,B,B,B,R"
-14.846	"/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/R"
-14.84	"R,/R,/R,/R,/R,/R,/R,/R,/R,/"
-14.8378	"/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/R"
-14.833	"R,GB,GB,GB,GB,GB,GB,GB,GB,"
-14.8141	"B,B,B,B,B,B,B,B,B,G/B"
-14.805	"R,RB,RB,RB,RB,RB,RB,RB,RB,G"
-14.8041	"R/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-14.7823	"R,R,R,R,R,R,R,R,R,"
-14.7821	"R,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B"
-14.7745	"/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-14.7673	"RB,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-14.7667	"BB,GB,GB,GB,GB,GB,GB,GB,GB,"
-14.747	",G,G,G,G,G,G,G,G,G"
-14.7454	"G,GB,GB,GB,GB,GB,GB,GB,GB,B"
-14.7427	"/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/R/B,G/G"
-14.7283	"/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/G"
-14.7283	"/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/B"
-14.7242	"G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/G/R,B/"
-14.724	"B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/"
-14.6989	"G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-14.6839	"G/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B"
-14.6804	"R,/,/,/,/,/,/,/,/,/"
-14.6804	"B,/,/,/,/,/,/,/,/,/"
-14.679	"B,B,B,B,B,B,B,B,B,B/////////"
-14.6661	"B,B,B,B,B,B,B,B,B,/////////"
