-13.3993	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/"
-13.385	"/,G,R/,G,R/,G,R/,G,R/,G"
-13.3833	"R/G,/G,/G,/G,/G,/G,/G,/G,/G,"
-13.3459	"G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-13.3257	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-13.3012	"R,,R,,R,,R,,R,G"
-13.289	"R,G,,G,,G,,G,,G"
-13.2097	"R,,R,G,R,G,R,G,R,G"
-13.164	"R/,G,/,G,/,G,/,G,/,G"
-13.1352	"R,R,R,R,R,R,R,R,R,R"
-13.0711	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,"
-13.0368	",G,G,G,G,G,G,G,G,G"
-13.0368	"R,R,R,R,R,R,R,R,R,"
-13.002	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-12.9991	"R,/G,R,/G,R,/G,R,/G,R,/"
-12.9523	",/G,R,/G,R,/G,R,/G,R,/G"
-12.9505	"R/,G,R/,G,R/,G,R/,G,R/,"
-12.9276	"R/,,R/,,R/,,R/,,R/,G"
-12.8827	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-12.8781	"R,/,R,/,R,/,R,/,R,/G"
-12.8738	"/,/,/,/,/,/,/,/,/,G"
-12.8549	"R,G,R,G,R,G,R,G,,G"
-12.8311	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-12.8208	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-12.6975	"R,/,/,/,/,/,/,/,/,/"
-12.6378	"R,/G,,/G,,/G,,/G,,/G"
-12.5741	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-12.4997	"/,/,/,/,/,/,/,/,/,"
-12.4857	"R,/R,/R,/R,/R,/R,/R,/R,/R,/G"
-12.4663	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-12.3053	",/G,/G,/G,/G,/G,/G,/G,/G,/G"
-12.2976	"R/,R/,R/,R/,R/,R/,R/,R/,R/,"
-12.2938	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-12.2408	",/,/,/,/,/,/,/,/,/"
-11.861	"R,G,R,G,R,G,R,G,R,G"
-11.8444	"/,/G,R/,/G,R/,/G,R/,/G,R/,/G"
-11.8255	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-11.8254	"R,R,R,R,R,R,R,R,R,G"
-11.82	"R,G,G,G,G,G,G,G,G,G"
-11.803	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/"
-11.69	"R/,/,R/,/,R/,/,R/,/,R/,/G"
-11.681	"R/,/G,/,/G,/,/G,/,/G,/,/G"
-11.6779	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/G"
-11.6671	",/,/,/,/,/,/,/,/,/G"
-11.6434	"R/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-11.5792	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-11.5619	"R/,/,/,/,/,/,/,/,/,"
-11.13	"R/,R/,R/,R/,R/,R/,R/,R/,R/,G"
-11.118	"R,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-11.0271	"R/,G,R/,G,R/,G,R/,G,R/,G"
-10.8936	"R,/G,R,/G,R,/G,R,/G,R,/G"
-9.53657	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/G"
# Global sample count:	379161580
# Elapsed time:	1200.08 seconds 
# Samples per second:	315946
